,Data,Hora,OP1.1.1 I (A),OP1.1.2 I (A),OP1.1.3 I (A),OP1.1.4 I (A),OP1.1.5 I (A),OP1.1.6 I (A),OP1.1.7 I (A),OP1.1.8 I (A),OP1.1.9 I (A),OP1.1.10 I (A),OP1.1.11 I (A),OP1.1.12 I (A),OP1.1.13 I (A),OP1.1.14 I (A),OP1.1.15 I (A),OP1.1.16 I (A),OP1.2.1 I (A),OP1.2.2 I (A),OP1.2.3 I (A),OP1.2.4 I (A),OP1.2.5 I (A),OP1.2.6 I (A),OP1.2.7 I (A),OP1.2.8 I (A),OP1.2.9 I (A),OP1.2.10 I (A),OP1.2.11 I (A),OP1.2.12 I (A),OP1.2.13 I (A),OP1.2.14 I (A),OP1.2.15 I (A),OP1.2.16 I (A),OP1.3.1 I (A),OP1.3.2 I (A),OP1.3.4 I (A),OP1.3.5 I (A),OP1.3.6 I (A),OP1.3.7 I (A),OP1.3.8 I (A),OP1.3.9 I (A),OP1.3.10 I (A),OP1.3.11 I (A),OP1.3.12 I (A),OP1.3.13 I (A),OP1.3.14 I (A),OP1.3.15 I (A),OP1.3.16 I (A)
10,2021-04-06,08:30:00,2.25,2.6166666666666667,2.5416666666666665,2.7890750000000004,2.6521000000000003,2.575,2.2396333333333334,2.6094,2.4312750000000003,2.2354333333333334,2.29375,2.2375249999999998,2.334375,1.9344000000000001,2.2146,2.08125,1.9094,2.4125,1.99065,2.0541666666666667,2.02345,2.289633333333333,2.0922,1.8187666666666666,2.25625,1.67815,0.5250333333333334,2.293775,2.2646,0.45213333333333333,0.30833333333333335,2.3666666666666667,2.2625,2.482825,2.7563,2.58125,2.660433333333333,2.2625,2.7938,2.51565,2.45,0.5667,2.470833333333333,2.639075,0.50935,0.475,2.31875
11,2021-04-06,08:45:00,3.295833333333333,3.1844,2.8812499999999996,3.3125,3.279166666666667,3.2453,3.154166666666667,3.325025,3.2188,2.9406,2.7937666666666665,2.89685,2.85625,2.77815,2.6854333333333336,2.8729333333333336,2.9344,2.8344,2.52185,2.7479666666666667,2.7479,2.375,2.85005,2.6687999999999996,2.49375,2.7,0.85005,3.02815,2.5343999999999998,0.6583666666666668,0.46669999999999995,2.6062666666666665,2.7563,3.3583666666666665,3.38125,2.2812,3.102066666666667,3.0,3.40315,3.0646,3.04375,0.71565,2.9875499999999997,2.7313,0.7291666666666666,0.6958333333333333,2.962533333333333
12,2021-04-06,09:00:00,3.5208666666666666,3.9354333333333336,3.5270999999999995,3.48125,3.5541666666666667,3.5656499999999998,3.90625,3.6218500000000002,0.0,0.0,3.33595,3.3083333333333336,3.2125,3.2291666666666665,3.36565,3.3000333333333334,0.0,3.4609500000000004,3.2969,3.079725,2.6125,3.15005,3.1,2.81875,3.4771,3.12345,0.6906,3.3375,2.99065,0.4458333333333333,0.3437666666666666,3.293775,3.3042,3.7187333333333332,3.38125,3.335433333333333,3.5083333333333333,3.4292,3.8771,3.556266666666667,3.2187666666666668,1.0729666666666666,3.6593999999999998,3.5828500000000005,0.4938,0.4688,3.4291666666666667
13,2021-04-06,09:15:00,4.37815,2.2666999999999997,3.4969,2.4875249999999998,4.443766666666667,3.1520999999999995,3.625033333333333,4.1406,4.0047,2.2031,2.41255,3.317175,2.4063,3.6583,3.6875,3.0145666666666666,1.8500333333333332,3.2218999999999998,2.710433333333333,3.65625,2.7145666666666664,3.32655,3.7218999999999998,3.71565,2.7000333333333333,3.9594,0.6250249999999999,2.8104333333333336,2.8062333333333336,0.5125,0.3437333333333334,3.95315,2.42815,3.4604,2.4718999999999998,4.0766,3.4578249999999997,3.01565,1.0281500000000001,1.6500499999999998,4.0042,2.027066666666667,3.4333333333333336,2.5374999999999996,0.5541666666666667,0.53125,3.2604
14,2021-04-06,09:30:00,1.3594,1.66875,1.1896333333333333,1.4188,1.4854333333333336,1.35625,1.2125,1.1594,1.42815,1.83595,1.262533333333333,1.6979333333333333,1.63285,1.2344,1.3047,1.5354666666666665,1.60625,1.48125,1.2563,1.2583666666666666,2.1844,1.2844,1.2354333333333332,2.4458333333333333,1.6875,2.6500333333333335,1.3667,1.45,1.2437666666666667,1.0479333333333332,0.8833333333333333,3.05625,1.2270666666666665,1.5521,1.6094,1.3896333333333335,1.7729333333333335,1.3854333333333333,1.5208666666666666,1.25005,1.9312666666666667,1.5416666666666667,3.2718499999999997,1.4719,0.9916666666666666,1.1219000000000001,1.24375
15,2021-04-06,09:45:00,3.83435,3.0979333333333336,3.68125,3.2218999999999998,1.9687000000000001,1.8813,2.733333333333333,2.954166666666667,3.5229,2.4667,2.38595,3.92815,3.21875,1.9979666666666667,3.43755,1.5688,1.78755,3.1375333333333333,2.907825,3.6291666666666664,3.217175,1.8146333333333333,3.8094,2.891633333333333,4.120866666666667,3.8344,2.2406,2.7541999999999995,3.2229000000000005,1.512533333333333,1.2,3.522933333333333,2.7646,3.4792,4.5396,1.6562999999999999,1.7542,2.9479333333333333,1.9146,2.7146000000000003,3.9896,4.356275,3.9333666666666667,1.51565,1.512525,1.6021,3.789566666666667
16,2021-04-06,10:00:00,4.343766666666666,3.3646000000000007,4.456266666666667,1.7594,2.8297,4.345866666666667,3.6854,2.1271333333333335,3.3146,2.15,1.60315,3.0896000000000003,4.254166666666666,3.592225,2.9520999999999997,4.543775,4.504166666666666,1.7125333333333332,1.4656500000000001,2.79375,1.6437499999999998,4.231275,3.1104333333333334,3.50625,2.8859250000000003,3.4874999999999994,1.6875,3.1000333333333336,2.8958333333333335,1.4146333333333334,1.0146,2.3333666666666666,3.7859249999999998,5.90315,3.250033333333334,3.5219,2.925,5.514600000000001,4.1000000000000005,2.6953250000000004,3.642175,3.0292,1.8041666666666665,2.7172,1.4771,1.2583666666666666,2.2938
17,2021-04-06,10:15:00,2.7458666666666667,2.8791666666666664,0.8188,3.8188,2.7667,1.2125,2.6666666666666665,4.1229000000000005,3.732825,4.70315,3.5390749999999995,4.170866666666666,1.2406,3.3156499999999998,3.8812666666666664,1.16875,4.4875,2.6104,3.442225,1.11875,2.5104333333333333,3.2843999999999998,1.0594000000000001,4.2109749999999995,2.779166666666667,4.114566666666666,1.95,4.170833333333333,3.2937499999999997,1.0,0.7437666666666667,1.5625,3.3146,3.757825,3.6328500000000004,3.9500333333333333,2.591666666666667,2.5416666666666665,4.4104,0.9874999999999999,1.14065,3.36875,4.625025,1.0844,0.94065,0.9646333333333333,2.312533333333333
18,2021-04-06,10:30:00,0.0,6.571899999999999,5.9250333333333325,1.7,4.145866666666667,5.260400000000001,4.1270999999999995,4.058333333333333,4.696899999999999,3.95315,5.64065,5.014600000000001,4.502066666666667,4.0312,6.008333333333333,4.6875333333333336,5.2125,4.1328,3.7791666666666663,5.915649999999999,5.9395999999999995,5.126575,4.716666666666667,5.168733333333333,6.15315,3.99065,3.7354,4.068766666666667,4.383333333333333,1.525025,1.2708666666666666,4.881266666666666,2.9718999999999998,6.4875,6.46565,5.6453,6.281233333333333,3.9687,4.6521,4.974966666666666,6.016666666666666,6.1000000000000005,6.1906,4.297899999999999,1.94375,1.6250333333333333,3.2208333333333337
19,2021-04-06,10:45:00,2.3000000000000003,1.4000000000000001,1.607825,1.39685,1.3594,1.4187500000000002,4.360433333333333,6.0,3.7625,3.85,3.748425,2.68125,3.1854666666666667,3.7281,2.4953250000000002,1.33755,2.42815,1.6625,4.115600000000001,3.9187666666666665,1.37815,1.2469000000000001,1.7937666666666667,2.8645666666666667,1.535466666666667,1.575,2.5396,6.25,2.9271,0.9625,0.7281500000000001,2.2417000000000002,2.779166666666667,2.845833333333333,1.52505,1.4094,1.5229333333333335,1.35,2.9104000000000005,1.1438000000000001,2.035433333333333,1.4813,3.3646,2.8166666666666664,1.2469000000000001,1.0020999999999998,1.5958333333333332
20,2021-04-06,11:00:00,3.4594,5.281233333333334,1.8563,4.1781500000000005,5.7875,4.2333,2.7021,3.2624999999999997,4.2771,3.8625,2.795866666666667,3.0521,3.625,3.4,3.8531,4.843766666666667,2.7750333333333335,4.441666666666666,4.4562333333333335,4.541666666666667,4.0874999999999995,3.3,3.49065,4.05625,5.875,3.7172,3.3328249999999997,3.5812500000000003,4.6719,0.878125,0.7125,3.4781500000000003,5.62815,4.825,3.4875250000000007,4.070799999999999,4.6854000000000005,3.1469,2.8270999999999997,4.1021,3.108366666666667,4.1750333333333325,3.4593499999999997,3.4109499999999997,2.0125,0.912525,3.42185
21,2021-04-06,11:15:00,1.7375333333333334,1.61565,1.5,2.21875,1.5208333333333333,1.8250333333333335,2.1469,2.20625,1.6771333333333331,1.7812999999999999,1.7687666666666664,2.1719,2.1625,2.85,1.5416999999999998,1.57505,1.5906500000000001,2.0562333333333336,1.5188000000000001,1.85935,1.4354333333333333,1.7166666666666668,1.5541666666666665,1.3563,1.5937999999999999,1.8188,1.73755,2.0833666666666666,1.6666999999999998,1.35,1.0625,1.6063,1.6520666666666666,1.6458666666666666,2.125033333333333,1.4594,1.729725,1.4219,1.6094,1.4041666666666668,1.695325,1.38755,1.93285,1.4344000000000001,1.45005,1.11875,1.6292
22,2021-04-06,11:30:00,6.49375,3.5297,4.6125,6.0062,3.925,1.5,1.5469,1.84375,1.8896,2.75,3.9969,6.079166666666667,6.625,2.7469,6.025,3.1833666666666667,5.05,4.9771,3.8146,4.6125,3.0271000000000003,1.9979333333333333,5.041666666666667,1.6083333333333334,3.4328000000000003,4.8145999999999995,3.579166666666666,2.508366666666667,2.3854333333333333,1.1719,0.8333666666666667,3.53435,5.97185,3.6666666666666665,4.3719,1.375,2.66875,3.68595,4.679166666666666,1.4625,3.6750000000000003,2.79845,6.23435,1.3625,4.633333333333334,1.2812,2.8791666666666664
23,2021-04-06,11:45:00,3.775025,1.475,5.625,3.69375,3.5906,3.806275,2.9542,2.9396,3.3729333333333336,4.764600000000001,3.8531,3.2375000000000003,3.1520666666666664,4.0405999999999995,3.775,3.9063,4.318775,1.9188,3.5,1.51255,4.639566666666667,1.3843999999999999,1.6875,6.103149999999999,6.4313,3.8688,3.0541666666666667,5.025033333333333,4.09685,1.6083333333333334,0.92815,4.760466666666667,2.818766666666667,4.670833333333333,6.09065,3.8094,3.0895999999999995,4.2312666666666665,3.0187666666666666,4.393766666666667,4.181266666666667,3.70625,3.757825,3.41875,3.3645666666666667,1.0906500000000001,3.5203249999999997
24,2021-04-06,12:00:00,6.17185,6.315625,5.793749999999999,6.218733333333333,6.1563,6.03435,5.950033333333333,6.079166666666667,6.68285,6.745833333333334,6.62345,6.75,6.510433333333334,6.501575,6.2250000000000005,6.26565,6.53125,6.564566666666667,6.564566666666667,6.395866666666667,6.2125,6.4021,6.454166666666667,6.25,5.945325,6.4125000000000005,6.212533333333333,6.68435,6.356249999999999,0.0,0.9979333333333334,6.5,5.8719,6.318766666666666,6.2,5.991666666666667,5.918733333333333,5.920833333333334,5.428125,5.970833333333334,5.85625,6.0,6.08125,5.952066666666667,5.9624999999999995,1.3094000000000001,5.7062333333333335
