,Data,Hora,P1.1.1 P (W),P1.1.2 P (W),P1.1.3 P (W),P1.1.4 P (W),P1.1.5 P (W),P1.1.6 P (W),P1.1.7 P (W),P1.1.8 P (W),P1.1.9 P (W),P1.1.10 P (W),P1.1.11 P (W),P1.1.12 P (W),P1.1.13 P (W),P1.1.14 P (W),P1.1.15 P (W),P1.1.16 P (W),P1.2.1 P (W),P1.2.2 P (W),P1.2.3 P (W),P1.2.4 P (W),P1.2.5 P (W),P1.2.6 P (W),P1.2.7 P (W),P1.2.8 P (W),P1.2.9 P (W),P1.2.12 P (W),P1.2.13 P (W),P1.2.14 P (W),P1.2.15 P (W),P1.2.16 P (W),P1.3.1 P (W),P1.3.2 P (W),P1.3.3 P (W),P1.3.4 P (W),P1.3.5 P (W),P1.3.6 P (W),P1.3.7 P (W),P1.3.8 P (W),P1.3.9 P (W),P1.3.10 P (W),P1.3.11 P (W),P1.3.12 P (W),P1.3.13 P (W),P1.3.14 P (W),P1.3.15 P (W),P1.3.16 P (W)
10,2021-05-27,08:30:00,231.80079999999998,241.68555,228.1833333333333,247.77813333333333,236.94335,230.25705,234.53555,229.71746666666664,0.0,204.13985,190.1914,206.03280000000004,203.5427,195.836525,194.20412499999998,196.70573333333334,195.25623333333337,201.65550000000002,197.05939999999998,195.23073333333332,189.2531333333333,201.2044,194.2906,183.67423333333332,200.7422,205.293,200.3080666666667,40.6465,29.54843333333333,206.60745,214.6555,237.18945,241.26387499999998,232.1081,223.3656,0.0,244.8703,230.36095,233.08905,229.97345,49.56876666666667,243.5996,234.0422,48.4641,46.0898,231.51445
11,2021-05-27,08:45:00,264.9258,271.6504,266.32225,284.707,271.13395,271.6755666666666,265.183425,267.5474,248.4799,239.13076666666666,231.91406666666668,245.2904,244.66955000000002,235.6953,226.24725,235.28539999999998,235.27677500000001,238.89686666666668,231.12775,233.09924999999998,233.35523333333333,236.06196666666665,237.13486666666668,222.51353333333336,237.5862,244.52316666666664,236.59426666666664,50.94636666666667,33.214475,241.44535000000002,254.44713333333334,273.441225,273.61445,270.25596666666667,258.04193333333336,275.31899999999996,272.33435,272.2947666666667,270.16795,263.5375,79.64296666666667,277.76980000000003,268.2226666666667,58.907799999999995,51.4051,266.6133
12,2021-05-27,09:00:00,272.2812333333333,283.35706666666664,271.11565,288.05233333333337,282.31175,282.3125,276.14685,273.18084999999996,267.79025,255.91403333333335,250.8172,263.84375,250.2773,244.44144999999997,240.42763333333332,247.46276666666665,245.06055,255.44782499999997,253.3406,251.0852,247.3875,250.54346666666666,253.38673333333335,233.6208333333333,252.29663333333335,259.56016666666665,252.16563333333337,44.47396666666666,30.99685,249.67603333333332,265.68985,285.2324,277.85685,276.0151333333334,267.0073,284.77706666666666,282.13009999999997,283.2690333333333,275.03125,276.2898666666667,146.86135000000002,289.98409999999996,269.5547,49.39335,46.4418,280.6211
13,2021-05-27,09:15:00,285.0732,300.6125,282.8584,300.75963333333334,296.2526,301.8254,283.4349,287.47270000000003,278.74843333333337,276.48985000000005,271.1091333333333,279.8226666666667,276.8578,258.9739666666667,256.80603333333335,267.1324,262.6825666666667,277.51015,263.2067666666667,262.2156,262.317775,264.23555,277.62149999999997,251.9786333333333,269.3039333333333,275.3109666666667,265.48555,38.59375,23.6219,264.1203,282.2996,301.0588333333333,295.1895666666667,291.31095,283.273625,304.7747,287.23696666666666,303.9828333333333,291.62893333333335,295.45899999999995,213.9766,304.83439999999996,285.34740000000005,41.648050000000005,41.53543333333334,289.2896
14,2021-05-27,09:30:00,302.159,312.0668,302.91409999999996,320.17539999999997,313.72993333333335,313.0703,308.63905,301.34766666666667,306.41779999999994,290.84476666666666,290.85315,297.99663333333336,295.26365,283.1903333333333,273.7371,285.4013333333333,286.28145,292.7726666666667,287.77345,288.7898666666667,285.0621,285.8789,293.5172333333333,280.24357499999996,290.7927,298.555675,291.37695,40.700799999999994,23.386466666666667,288.60290000000003,292.6112333333333,317.5052333333333,309.14725,309.50393333333335,301.5927,319.30989999999997,303.8760666666667,314.95465,308.39893333333333,303.54036666666667,257.69960000000003,319.4078,301.85936666666663,43.34739999999999,40.7078,308.42715
15,2021-05-27,09:45:00,324.57345,326.63100000000003,318.51096666666666,328.50625,328.6547,324.3877,322.89166666666665,319.427525,325.75350000000003,300.60310000000004,304.10625,318.53853333333336,314.2935,304.0073,301.92553333333336,306.4844,308.40705,311.5955666666667,302.00626666666665,308.91445,301.9062333333333,306.06303333333335,315.5070333333333,300.34740000000005,315.2531333333333,321.80416666666673,314.60886666666664,41.01796666666666,25.2656,309.1818,311.86715000000004,333.36066666666665,322.5255333333333,324.56835,310.58825,327.8516,321.53933333333333,326.82839999999993,324.92385,321.17655,301.31379999999996,336.8062,316.1887,44.755449999999996,42.27345,324.8426
16,2021-05-27,10:00:00,339.09529999999995,345.8921666666667,335.4914,352.7945333333334,345.75730000000004,341.7367,339.4567666666667,340.21484999999996,342.32946666666663,335.72083333333336,327.9328,343.86365,335.1677,324.50129999999996,323.00194999999997,326.77863333333335,325.3094,335.1752666666667,330.513275,329.28905,326.47575,328.0539,334.52500000000003,324.7664,336.8598666666667,343.53634999999997,335.02930000000003,41.803133333333335,25.209366666666668,331.4531,329.0256,353.89896666666664,342.58945,339.6164,331.5502333333333,349.35729999999995,337.3802333333333,345.58652500000005,335.2781,335.18865,326.025,350.314075,333.9901,46.92345,43.249766666666666,340.6638
17,2021-05-27,10:15:00,348.8258,355.2609333333333,343.6000000000001,361.28555,352.34884999999997,352.1008,350.60940000000005,0.0,358.00596666666667,347.95313333333337,341.78085,357.12895000000003,351.74690000000004,343.95053333333334,338.3262,341.3002333333333,340.40546666666665,349.8574,341.46325,340.0346333333334,338.97655,343.0039,345.3008,332.73125,351.1080666666667,353.6302,351.34633333333335,43.054700000000004,26.287733333333335,346.28073333333333,339.31013333333334,360.9596333333334,352.4159,348.3129,344.61425,362.3398,348.9234,355.0781,345.34375,341.6677,341.18982500000004,360.2447666666667,345.6938,61.4129,43.668800000000005,349.3125
18,2021-05-27,10:30:00,353.4125,367.9492333333333,358.02576666666664,377.62916666666666,364.8265666666666,363.7187666666666,361.96680000000003,358.20315,381.09145,364.5073,357.4502666666667,375.45275,367.05833333333334,359.5625,350.9656333333333,362.38514999999995,358.4093666666667,366.1250333333333,352.61135,357.7531333333334,355.8398333333333,357.876775,363.5043,346.7471333333333,379.582,372.61769999999996,369.75699999999995,46.53436666666666,29.216933333333333,360.74739999999997,350.27459999999996,373.4755333333333,361.72735,355.5273,355.11490000000003,369.7950666666666,359.5776,365.3013,361.6013,352.75,353.83285,372.61525,352.85040000000004,121.34842499999999,52.353633333333335,363.963
19,2021-05-27,10:45:00,372.7773,383.57083333333327,377.7562666666666,381.82266666666663,320.76135,391.5453,380.807825,378.876175,403.4971333333333,387.7823,395.475,396.48543333333333,380.86289999999997,388.34013333333337,374.94845,357.11875,387.30986666666666,385.9023,383.08903333333336,371.5219,382.137,351.5744666666667,394.82186666666666,350.37553333333335,386.817,396.0325666666666,393.63280000000003,59.87370000000001,44.744,378.4817666666667,363.3757666666667,391.025,378.23339999999996,381.9113,374.2317666666666,383.8833333333334,379.00685,386.3004,362.4,338.3448,369.94346666666667,396.27396666666664,369.28475000000003,192.12449999999998,66.15,387.01875
20,2021-05-27,11:00:00,376.025,381.28634999999997,382.0435,396.44896666666665,369.86524999999995,390.3757666666667,374.3008,372.47614999999996,415.6843666666667,397.22603333333336,387.9719,396.06329999999997,397.93486666666666,379.9725,374.8523666666667,365.69609999999994,380.557225,372.1268333333333,403.0047,396.1476666666667,383.6385666666667,384.55665,357.6927333333333,365.2393333333334,412.0224,409.5458333333333,393.9184666666667,60.5391,40.994800000000005,398.7812666666667,335.5271,407.8031,400.03096666666664,377.02655000000004,373.9403666666667,367.93945,364.80310000000003,396.9027,365.94412500000004,324.2625,324.33123333333333,403.7203,367.6208333333334,252.17316666666667,62.571866666666665,390.52970000000005
21,2021-05-27,11:15:00,401.939075,423.74870000000004,270.26605,414.74455,405.5466333333334,396.9844,392.44533333333334,401.95340000000004,434.57030000000003,424.3082,315.5434666666667,422.12735,353.43302500000004,411.4,400.93205,381.90440000000007,421.46484999999996,411.270325,418.8489333333334,429.6836,419.959575,368.33084999999994,415.25,412.9526,299.8922,348.13723333333337,426.36716666666666,101.55355,54.370725,412.6424666666667,394.63436666666666,415.81666666666666,412.03125,404.20354999999995,399.54946666666666,414.5002666666666,403.49765,412.2969,405.55235,397.484,398.8932333333334,418.852725,390.62033333333335,302.51795,85.80115,396.5471333333333
22,2021-05-27,11:30:00,357.14059999999995,393.7067666666667,342.36433333333326,379.4232,363.78004999999996,394.14257499999997,387.8270666666667,354.2086,396.2843666666667,399.92216666666667,395.1143,398.7700333333333,371.78594999999996,387.1005333333333,403.64453333333336,402.7362,378.007225,455.12345000000005,381.08020000000005,376.61276666666663,407.7640666666667,323.0898,374.40155000000004,385.8047,421.38123333333334,436.82422499999996,377.14374999999995,164.27993333333333,76.47149999999999,349.7968333333333,345.7383,412.3849,346.63595,395.39480000000003,380.29269999999997,401.5249999999999,370.58105,372.7758,396.7546666666667,284.45355,403.442775,408.84295,367.92890000000006,308.47943333333336,103.4336,333.90389999999996
