,Data,Hora,P1.1.1 V (V),P1.1.2 V (V),P1.1.3 V (V),P1.1.4 V (V),P1.1.5 V (V),P1.1.6 V (V),P1.1.7 V (V),P1.1.8 V (V),P1.1.9 V (V),P1.1.10 V (V),P1.1.11 V (V),P1.1.12 V (V),P1.1.13 V (V),P1.1.14 V (V),P1.1.15 V (V),P1.1.16 V (V),P1.2.1 V (V),P1.2.2 V (V),P1.2.3 V (V),P1.2.4 V (V),P1.2.5 V (V),P1.2.6 V (V),P1.2.7 V (V),P1.2.8 V (V),P1.2.9 V (V),P1.2.10 V (V),P1.2.11 V (V),P1.2.12 V (V),P1.2.13 V (V),P1.2.14 V (V),P1.2.15 V (V),P1.2.16 V (V),P1.3.1 V (V),P1.3.2 V (V),P1.3.3 V (V),P1.3.4 V (V),P1.3.5 V (V),P1.3.6 V (V),P1.3.7 V (V),P1.3.8 V (V),P1.3.9 V (V),P1.3.10 V (V),P1.3.11 V (V),P1.3.12 V (V),P1.3.13 V (V),P1.3.14 V (V),P1.3.15 V (V),P1.3.16 V (V)
10,2021-08-03,08:30:00,68.79166666666667,69.1875,68.70833333333333,68.54166666666667,69.58333333333333,69.0,68.33333333333333,69.5,69.8125,69.91666666666667,69.08333333333333,71.3125,70.125,69.625,69.04166666666667,70.0625,69.125,69.25,69.125,68.91666666666667,69.45833333333333,69.90625,69.5625,69.8125,69.29166666666667,69.0625,70.125,69.54166666666667,69.70833333333333,73.5,77.4375,69.25,68.9375,69.6875,69.25,68.29166666666667,69.125,69.9375,68.5,68.84375,69.0,69.5625,69.16666666666667,69.16666666666667,67.625,70.66666666666667,73.625,69.95833333333333
11,2021-08-03,08:45:00,70.08333333333333,70.375,69.54166666666667,69.29166666666667,69.16666666666667,68.6875,68.79166666666667,69.41666666666667,69.33333333333333,70.5,70.4375,70.8125,69.95833333333333,68.95833333333333,69.9375,70.83333333333333,69.25,69.95833333333333,69.875,69.875,70.1875,70.0,69.54166666666667,70.0,69.66666666666667,69.79166666666667,70.5625,69.95833333333333,69.79166666666667,72.4375,77.25,69.875,69.4375,69.625,70.03125,69.0625,68.20833333333333,68.70833333333333,68.66666666666667,69.25,68.125,69.71875,69.58333333333333,69.6875,69.41666666666667,71.0,72.5625,70.20833333333333
12,2021-08-03,09:00:00,70.0625,69.58333333333333,69.375,69.625,67.6875,69.75,67.875,68.75,69.90625,70.54166666666667,70.125,70.8125,70.875,69.75,70.0625,71.54166666666667,69.5,70.125,68.9375,70.29166666666667,70.25,69.9375,70.625,69.75,69.375,69.4375,70.08333333333333,69.45833333333333,70.25,71.875,77.0,70.875,68.95833333333333,70.28125,71.25,68.95833333333333,68.9375,70.125,69.45833333333333,68.45833333333333,68.125,68.75,68.70833333333333,70.25,68.33333333333333,69.41666666666667,70.875,69.58333333333333
13,2021-08-03,09:15:00,68.5,68.875,68.08333333333333,69.0,68.33333333333333,68.375,67.0625,68.16666666666667,69.0,69.0,68.5625,69.75,69.45833333333333,69.75,70.8125,70.25,68.375,69.03125,68.75,69.5,68.20833333333333,69.20833333333333,69.91666666666667,69.1875,68.125,68.83333333333333,69.3125,69.66666666666667,69.16666666666667,72.66666666666667,74.0,70.125,68.9375,69.5,68.66666666666667,67.875,68.1875,68.08333333333333,67.75,67.45833333333333,67.29166666666667,68.91666666666667,68.83333333333333,68.5,67.96875,71.1875,72.0625,69.5
14,2021-08-03,09:30:00,66.46875,66.0,65.9375,68.875,66.5,66.125,66.04166666666667,65.75,67.83333333333333,67.58333333333333,67.1875,68.0,68.70833333333333,67.25,68.625,68.54166666666667,65.3125,67.5,67.70833333333333,69.3125,67.875,67.5,67.04166666666667,67.29166666666667,66.9375,66.95833333333333,67.45833333333333,67.875,67.20833333333333,67.95833333333333,69.59375,67.375,65.9375,67.16666666666667,66.79166666666667,66.04166666666667,66.04166666666667,64.5625,66.9375,66.0,65.20833333333333,66.04166666666667,65.3125,65.79166666666667,66.1875,66.5,66.45833333333333,67.25
15,2021-08-03,09:45:00,65.8125,66.75,65.20833333333333,65.45833333333333,66.3125,65.20833333333333,64.33333333333333,65.125,66.125,65.8125,66.20833333333333,67.125,66.0625,66.0,65.4375,68.65625,64.6875,66.125,66.25,66.33333333333333,66.125,67.125,67.75,66.125,65.5625,66.91666666666667,66.41666666666667,65.75,66.0,67.41666666666667,69.125,65.41666666666667,65.29166666666667,66.54166666666667,64.625,64.125,64.09375,65.875,63.958333333333336,63.625,64.08333333333333,65.08333333333333,64.70833333333333,63.625,63.5,65.70833333333333,65.75,66.91666666666667
16,2021-08-03,10:00:00,67.875,67.79166666666667,65.91666666666667,65.5,65.45833333333333,66.3125,68.0,64.16666666666667,69.125,69.25,64.16666666666667,71.375,68.54166666666667,65.125,69.96875,68.95833333333333,63.28125,67.25,70.125,70.29166666666667,66.08333333333333,68.1875,69.9375,67.58333333333333,70.625,64.9375,66.875,68.75,67.16666666666667,65.5,70.58333333333333,67.29166666666667,67.29166666666667,69.16666666666667,68.4375,66.04166666666667,68.0,64.95833333333333,65.70833333333333,65.95833333333333,66.9375,66.875,66.29166666666667,66.33333333333333,65.16666666666667,64.95833333333333,66.66666666666667,67.125
17,2021-08-03,10:15:00,64.91666666666667,67.375,66.15625,67.125,65.75,65.04166666666667,64.45833333333333,65.20833333333333,66.1875,64.625,64.0,65.5,66.125,64.9375,66.0,68.5,64.0,65.95833333333333,67.33333333333333,70.54166666666667,0.0,67.53125,73.8125,67.08333333333333,68.75,65.04166666666667,68.1875,70.58333333333333,68.58333333333333,68.40625,69.4375,66.25,63.875,64.95833333333333,68.58333333333333,62.4375,64.54166666666667,63.166666666666664,63.3125,64.4375,62.875,66.45833333333333,65.0,65.29166666666667,63.5,64.20833333333333,67.08333333333333,67.83333333333333
18,2021-08-03,10:30:00,65.20833333333333,65.66666666666667,65.75,66.0,64.83333333333333,66.875,65.125,65.25,69.04166666666667,67.54166666666667,65.70833333333333,67.29166666666667,65.625,73.875,65.125,68.20833333333333,63.8125,64.3125,64.375,69.625,65.875,66.75,66.54166666666667,65.0625,65.5,66.125,65.6875,68.70833333333333,66.875,67.25,68.0,66.54166666666667,68.125,65.54166666666667,67.16666666666667,64.625,63.0,66.66666666666667,64.5625,65.04166666666667,63.5,64.375,67.58333333333333,66.125,65.79166666666667,66.1875,64.875,66.1875
19,2021-08-03,10:45:00,68.33333333333333,68.20833333333333,66.83333333333333,69.6875,68.45833333333333,66.83333333333333,65.3125,68.41666666666667,71.4375,69.41666666666667,67.79166666666667,72.125,71.83333333333333,66.91666666666667,68.6875,71.875,69.1875,69.03125,66.4375,67.75,67.875,68.375,70.5,66.375,66.0,67.25,67.375,70.45833333333333,70.5625,70.25,67.875,67.8125,67.58333333333333,70.66666666666667,67.29166666666667,67.5625,65.58333333333333,67.5625,67.6875,66.6875,66.46875,66.33333333333333,67.0625,65.375,67.375,69.21875,69.53125,70.04166666666667
