,Data,Hora,P1.1.1 P (W),P1.1.2 P (W),P1.1.3 P (W),P1.1.4 P (W),P1.1.5 P (W),P1.1.6 P (W),P1.1.7 P (W),P1.1.8 P (W),P1.1.9 P (W),P1.1.10 P (W),P1.1.11 P (W),P1.1.12 P (W),P1.1.13 P (W),P1.1.14 P (W),P1.1.15 P (W),P1.1.16 P (W),P1.2.1 P (W),P1.2.2 P (W),P1.2.3 P (W),P1.2.4 P (W),P1.2.5 P (W),P1.2.6 P (W),P1.2.7 P (W),P1.2.8 P (W),P1.2.9 P (W),P1.2.10 P (W),P1.2.11 P (W),P1.2.12 P (W),P1.2.13 P (W),P1.2.14 P (W),P1.2.15 P (W),P1.2.16 P (W),P1.3.1 P (W),P1.3.2 P (W),P1.3.3 P (W),P1.3.4 P (W),P1.3.5 P (W),P1.3.6 P (W),P1.3.7 P (W),P1.3.8 P (W),P1.3.9 P (W),P1.3.10 P (W),P1.3.11 P (W),P1.3.12 P (W),P1.3.13 P (W),P1.3.14 P (W),P1.3.15 P (W),P1.3.16 P (W)
10,2021-02-16,08:30:00,108.4008,114.29683333333332,95.38085000000001,105.69296666666666,106.58123333333333,94.26015000000001,92.10315,92.89535000000001,95.38125,92.74166666666667,94.95909999999999,102.99765,102.8789,98.41093333333333,97.8177,91.07686666666666,105.52969999999999,94.35676666666666,91.6737,112.018,94.34243333333332,90.59896666666667,95.57006666666666,88.76995,96.9672,104.76899999999999,97.2484,94.30733333333335,97.77163333333334,89.0445,80.06903333333334,96.49816666666668,91.30443333333334,120.13566666666668,113.56289999999998,110.01563333333333,85.4648,107.52943333333333,105.63927500000001,111.58596666666666,103.0215,107.3375,97.13306666666666,117.63284999999999,106.06200000000001,116.66095000000001,97.16935000000001,96.93256666666667
11,2021-02-16,08:45:00,197.01930000000002,164.0312,172.0063,202.3791666666667,258.44335,216.939075,161.12163333333334,245.44920000000002,232.6959,243.43535,174.06095,263.74063333333334,146.4918,189.82033333333334,182.6914,223.1906333333333,176.842375,251.67579999999998,177.26794999999998,188.71485,196.0231666666667,155.63750000000002,146.58595,172.66835,246.90233333333333,235.42813333333334,211.51639999999998,272.1573,238.56716666666668,223.67325,152.0195,193.55975,227.45895000000002,247.06055,316.7541333333333,338.3531,221.149825,291.09865,233.48749999999998,358.37694999999997,151.11483333333334,249.203125,222.49335,249.79725,251.47225,220.7203,224.91873333333334,204.59140000000002
12,2021-02-16,09:00:00,172.2237,179.4453,180.31760000000003,181.39686666666663,178.24495000000002,178.0734,183.82580000000002,174.27553333333333,168.24415,162.19844999999998,166.90106666666668,173.1320333333333,169.8828,160.4466,158.616025,164.9198,166.31445,162.8203,158.72786666666664,163.00910000000002,158.2151,158.62813333333332,160.33103333333335,155.6102,160.21715,177.98776666666666,166.7026,169.36796666666666,166.70886666666667,154.00936666666666,139.72697499999998,167.74725,170.1823,178.82344999999998,177.08360000000002,184.6854,176.68723333333332,183.2602,180.1156,177.0601333333333,174.414825,176.05075,168.8216,187.16146666666668,178.72345,175.95443333333333,160.29845,174.23176666666666
13,2021-02-16,09:15:00,161.02419999999998,171.1205666666667,220.9402,154.5234,166.96406666666667,171.378525,173.51276666666664,153.18906666666666,158.0185,160.0285,168.38126666666668,161.85995000000003,149.23673333333335,147.03753333333333,120.9633,177.50543333333334,137.33203333333333,184.00390000000002,164.5942666666667,162.063275,147.13436666666666,155.36175,142.2703,126.23723333333334,162.86715,155.69025,145.5841333333333,152.0078,153.88593333333333,122.85210000000001,123.1547,164.4498,179.90995,194.18673333333334,150.42370000000003,179.44323333333332,171.42464999999999,184.61565000000002,174.63675,168.5375,149.16525000000001,173.04455000000002,157.46796666666665,190.38126666666665,155.88754999999998,162.04686666666666,204.43475,167.69036666666668
14,2021-02-16,09:30:00,430.3197666666667,486.4002333333333,276.9687666666666,370.5246,310.18800000000005,356.8547,414.5885,437.3044,375.93865,307.41252499999996,359.38696666666664,218.8828,417.8,421.2086,301.2801,295.37185,340.2406,408.7255333333333,312.36013333333335,390.5688,434.9727,289.8140333333333,318.2766,232.4726333333333,319.2469,312.3205666666667,360.86445000000003,297.32236666666665,362.3179666666667,402.38516666666663,270.660175,396.84844999999996,447.00260000000003,505.40274999999997,443.909375,396.37890000000004,497.0976,342.6075666666666,473.54530000000005,387.17460000000005,436.55195,330.75879999999995,350.28245,384.22346666666664,334.3632666666667,360.4398666666666,469.7367,375.11456666666663
15,2021-02-16,09:45:00,353.03909999999996,345.5182333333334,459.34036666666674,327.99350000000004,363.10156666666666,397.84116666666665,404.8849,456.10363333333333,397.9239666666667,399.25035,398.7594000000001,314.0021,346.3844,379.45,386.5979333333333,285.2388,318.2748,395.6676,384.5797,372.05206666666663,386.61899999999997,319.7289,393.25,383.6379,383.6421666666667,351.55653333333333,386.12655,387.11743333333334,368.50673333333333,272.79375,363.9203,377.92655,446.8844,278.54976666666664,458.82815,345.85936666666663,320.105475,341.608025,445.3594,470.64663333333334,398.29113333333333,450.86485000000005,350.8958333333333,423.54785000000004,367.39843333333334,437.5547,436.56875,452.760925
16,2021-02-16,10:00:00,471.2239666666667,495.25155,510.84765,510.6914,507.05155,485.81759999999997,486.0383,451.4635333333333,454.9785,436.2026,376.9125,445.6651,396.7461,427.9988,402.9004,430.60275,371.6724,429.27575,426.8104,433.3461,438.33984999999996,415.2036666666667,387.4551,446.40315,431.3869666666667,420.2008,403.82189999999997,441.6562666666667,427.8294333333333,439.49296666666663,419.625,406.743575,453.6875,463.6218666666667,512.85935,482.954075,504.1822666666667,506.39059999999995,468.37369999999993,514.4062,508.0125,494.99845,487.0502666666667,520.42035,487.56095000000005,465.01146666666665,483.9700666666667,497.56929999999994
17,2021-02-16,10:15:00,403.8359666666667,405.2719,432.6961,456.2969,498.4927,475.543175,510.7151333333333,504.868375,429.3984,394.7026333333333,381.75679999999994,448.36955,437.57396666666665,455.65363333333335,433.65053333333327,442.71066666666667,427.43906666666663,440.56797500000005,431.5544333333333,360.57035,439.7474,443.8508,466.25975,401.92446666666666,415.04686666666674,377.22580000000005,330.241,443.61015,434.4047,367.57105,314.76644999999996,463.65470000000005,459.47423333333336,351.916,466.4914,518.2718666666666,464.7008,460.71146666666664,459.48126666666667,464.95233333333334,476.95000000000005,506.93595,471.6666666666667,456.94295,416.0289,487.4700666666667,443.68306666666666,405.41015
18,2021-02-16,10:30:00,531.8438,555.4322999999999,504.51590000000004,540.79475,543.1914333333334,582.3781,601.13865,606.10745,465.71955,472.65959999999995,494.944,463.29022499999996,534.6527,492.37225,380.48825,505.05339999999995,482.65756666666675,489.38803333333334,412.78675,479.62943333333334,509.35825,402.04866666666675,471.83595,512.2293,348.2891,547.2882999999999,384.6229,447.0141,533.0835666666667,487.05859999999996,507.76353333333327,510.4617,538.8682333333333,402.28176666666667,581.44655,473.7307333333333,551.0122666666667,546.5418,475.2031666666667,481.55762500000003,506.47465,525.7887999999999,475.6867,553.8357000000001,379.7271,510.30745,420.2129,511.56930000000006
19,2021-02-16,10:45:00,359.58360000000005,383.07503333333335,369.2164333333333,339.9671666666666,275.19960000000003,410.07050000000004,293.5922,329.10080000000005,286.15665,310.19689999999997,385.51899999999995,348.75,361.65000000000003,401.9567666666667,288.86303333333336,307.9601333333333,327.53906666666666,366.1067666666666,409.9703,324.51613333333336,309.15810000000005,355.14556666666664,414.26525000000004,384.20913333333334,366.0539,297.4219,385.2119666666667,323.73905,450.3406333333334,295.3789,357.7429666666667,362.4449000000001,393.48985,393.5651,400.77709999999996,290.60155,354.1053,452.80899999999997,291.85235,289.9846333333333,377.24399999999997,356.50272499999994,315.1693,327.3461,308.28045,329.72786666666667,426.72656666666666,376.48466666666667
