,Data,Hora,OP1.1.1 V (V),OP1.1.2 V (V),OP1.1.3 V (V),OP1.1.4 V (V),OP1.1.5 V (V),OP1.1.6 V (V),OP1.1.7 V (V),OP1.1.8 V (V),OP1.1.9 V (V),OP1.1.10 V (V),OP1.1.11 V (V),OP1.1.12 V (V),OP1.1.13 V (V),OP1.1.14 V (V),OP1.1.15 V (V),OP1.1.16 V (V),OP1.2.1 V (V),OP1.2.2 V (V),OP1.2.3 V (V),OP1.2.4 V (V),OP1.2.5 V (V),OP1.2.6 V (V),OP1.2.7 V (V),OP1.2.8 V (V),OP1.2.9 V (V),OP1.2.10 V (V),OP1.2.11 V (V),OP1.2.12 V (V),OP1.2.13 V (V),OP1.2.14 V (V),OP1.2.16 V (V),OP1.3.2 V (V),OP1.3.3 V (V),OP1.3.4 V (V),OP1.3.5 V (V),OP1.3.6 V (V),OP1.3.7 V (V),OP1.3.8 V (V),OP1.3.9 V (V),OP1.3.10 V (V),OP1.3.11 V (V),OP1.3.12 V (V),OP1.3.13 V (V),OP1.3.14 V (V),OP1.3.15 V (V),OP1.3.16 V (V)
10,2021-05-29,08:30:00,50.75,50.1875,50.791666666666664,51.666666666666664,51.03125,50.5,50.34375,50.833333333333336,43.875,0.0,41.583333333333336,43.583333333333336,43.541666666666664,42.5,42.458333333333336,43.25,53.6875,55.0625,55.208333333333336,54.083333333333336,54.53125,56.375,55.416666666666664,54.25,56.125,45.0625,15.5,56.1875,55.666666666666664,14.458333333333334,56.3125,55.0,55.90625,53.958333333333336,53.875,54.3125,55.625,55.0625,55.25,53.4375,14.791666666666666,54.833333333333336,55.8125,12.5,11.791666666666666,54.458333333333336
11,2021-05-29,08:45:00,50.041666666666664,49.75,50.208333333333336,51.125,50.25,49.84375,49.625,50.25,44.375,43.0625,42.458333333333336,44.333333333333336,44.375,43.208333333333336,43.083333333333336,43.791666666666664,53.541666666666664,55.166666666666664,55.375,53.916666666666664,54.9375,56.3125,55.25,53.6875,55.833333333333336,49.5625,15.333333333333334,56.416666666666664,55.625,12.75,56.0,54.6875,56.1875,53.958333333333336,54.0,53.958333333333336,55.1875,55.4375,54.25,53.541666666666664,17.875,54.9375,55.166666666666664,13.708333333333334,11.458333333333334,54.083333333333336
12,2021-05-29,09:00:00,49.75,49.46875,49.833333333333336,50.75,50.041666666666664,49.5,49.375,49.8125,44.875,43.59375,42.84375,44.8125,44.875,43.5625,43.5,44.166666666666664,53.875,55.458333333333336,55.541666666666664,54.8125,54.708333333333336,56.458333333333336,55.541666666666664,54.5,56.208333333333336,53.75,10.875,56.666666666666664,55.625,10.166666666666666,56.166666666666664,55.0,55.333333333333336,53.8125,53.708333333333336,53.9375,54.75,54.75,54.875,52.9375,25.916666666666668,54.333333333333336,55.125,10.333333333333334,8.6875,53.875
13,2021-05-29,09:15:00,49.25,49.0625,49.375,50.25,49.708333333333336,49.083333333333336,49.125,49.375,45.166666666666664,44.375,43.625,45.083333333333336,45.041666666666664,44.0,43.75,44.625,54.6875,56.125,56.166666666666664,55.375,55.25,57.0,56.375,55.333333333333336,57.041666666666664,55.0,7.708333333333333,57.333333333333336,56.375,7.375,56.958333333333336,54.625,54.875,53.416666666666664,53.5625,53.666666666666664,54.75,54.458333333333336,54.3125,52.666666666666664,35.625,54.21875,54.6875,7.375,6.708333333333333,53.84375
14,2021-05-29,09:30:00,48.791666666666664,48.75,49.0,49.5,48.875,48.6875,48.4375,48.833333333333336,45.90625,44.8125,44.0,45.541666666666664,45.5,44.875,44.4375,45.125,54.875,56.125,56.041666666666664,55.416666666666664,55.5,56.875,56.4375,55.166666666666664,56.916666666666664,54.708333333333336,11.125,56.958333333333336,56.5,5.875,56.708333333333336,54.1875,54.5,53.15625,53.291666666666664,53.125,54.25,54.125,54.0625,52.5,43.625,53.75,54.3125,5.625,4.958333333333333,53.625
15,2021-05-29,09:45:00,48.375,48.666666666666664,48.375,49.0,46.208333333333336,49.9375,51.291666666666664,46.53125,46.625,45.125,44.625,46.25,46.0,45.166666666666664,45.291666666666664,46.0,53.291666666666664,54.208333333333336,55.333333333333336,54.875,54.791666666666664,54.375,50.0,55.666666666666664,56.375,53.958333333333336,17.75,56.791666666666664,54.625,10.166666666666666,53.375,53.75,53.958333333333336,52.583333333333336,52.875,52.5,53.708333333333336,53.75,51.5,52.0,47.833333333333336,53.125,53.0,7.333333333333333,5.875,53.125
16,2021-05-29,10:00:00,47.75,47.666666666666664,47.75,48.25,47.833333333333336,47.5625,47.375,48.208333333333336,46.75,46.0,45.458333333333336,46.5,47.041666666666664,46.458333333333336,46.375,45.958333333333336,53.5,54.083333333333336,52.458333333333336,53.75,52.125,53.291666666666664,54.375,52.0,53.291666666666664,51.166666666666664,30.083333333333332,54.25,54.5625,16.833333333333332,51.6875,53.0,50.291666666666664,49.458333333333336,52.6875,50.708333333333336,52.875,53.15625,50.666666666666664,49.6875,48.1875,50.90625,51.458333333333336,14.875,15.291666666666666,50.5625
17,2021-05-29,10:15:00,47.708333333333336,48.6875,47.875,52.291666666666664,51.125,46.333333333333336,48.458333333333336,46.3125,46.708333333333336,43.458333333333336,45.25,47.458333333333336,45.833333333333336,46.4375,45.5,48.208333333333336,48.083333333333336,51.5625,52.583333333333336,50.4375,50.875,53.3125,51.375,50.9375,52.625,49.541666666666664,41.53125,52.083333333333336,51.625,14.625,51.90625,52.708333333333336,50.333333333333336,50.875,50.34375,48.125,49.125,52.25,48.375,49.96875,46.125,49.25,52.958333333333336,22.083333333333332,18.0,51.208333333333336
18,2021-05-29,10:30:00,47.5,47.833333333333336,47.6875,48.3125,47.46875,47.75,49.375,48.416666666666664,47.4375,46.3125,46.9375,47.1875,48.083333333333336,46.5625,46.125,45.75,49.458333333333336,53.34375,54.125,53.5,53.166666666666664,54.5,53.875,52.75,53.875,53.375,46.0625,54.541666666666664,54.375,16.208333333333332,56.5,54.03125,55.25,52.083333333333336,50.125,50.8125,52.041666666666664,52.958333333333336,52.666666666666664,50.5,51.75,49.875,51.25,16.4375,8.958333333333334,52.59375
19,2021-05-29,10:45:00,47.375,47.34375,47.791666666666664,47.833333333333336,45.6875,47.291666666666664,46.625,48.0,47.416666666666664,46.916666666666664,46.083333333333336,46.90625,46.708333333333336,46.875,46.5625,42.125,52.916666666666664,52.333333333333336,54.0,53.375,53.125,53.791666666666664,52.708333333333336,53.0625,53.3125,48.4375,42.25,54.458333333333336,54.875,13.6875,54.4375,51.875,53.125,51.53125,51.958333333333336,49.625,51.6875,52.40625,52.375,50.875,48.875,52.083333333333336,51.291666666666664,24.083333333333332,10.583333333333334,50.9375
