,Data,Hora,P1.1.1 P (W),P1.1.2 P (W),P1.1.3 P (W),P1.1.4 P (W),P1.1.5 P (W),P1.1.6 P (W),P1.1.7 P (W),P1.1.8 P (W),P1.1.9 P (W),P1.1.10 P (W),P1.1.12 P (W),P1.1.13 P (W),P1.1.14 P (W),P1.1.15 P (W),P1.1.16 P (W),P1.2.1 P (W),P1.2.2 P (W),P1.2.3 P (W),P1.2.4 P (W),P1.2.5 P (W),P1.2.6 P (W),P1.2.7 P (W),P1.2.8 P (W),P1.2.9 P (W),P1.2.10 P (W),P1.2.11 P (W),P1.2.13 P (W),P1.2.14 P (W),P1.2.15 P (W),P1.2.16 P (W),P1.3.1 P (W),P1.3.2 P (W),P1.3.4 P (W),P1.3.5 P (W),P1.3.6 P (W),P1.3.7 P (W),P1.3.8 P (W),P1.3.9 P (W),P1.3.10 P (W),P1.3.11 P (W),P1.3.12 P (W),P1.3.13 P (W),P1.3.14 P (W),P1.3.15 P (W),P1.3.16 P (W)
13,2021-07-06,09:15:00,292.14725,296.32396666666665,290.4245,305.54650000000004,302.15989999999994,295.571275,293.0758,289.22683333333333,286.58463333333333,281.02855,281.63283333333334,275.9182333333333,266.5797,257.7174333333333,268.2198,269.3638,272.0143,268.80155,267.81285,274.05,267.6781,276.8549666666667,259.038675,277.345725,280.91456666666664,32.1965,277.15886666666665,28.60676666666667,15.840633333333335,273.0065333333334,277.7565,300.5138,296.15705,289.5834,302.1549333333333,290.3768333333333,296.137,291.95465,296.8172,154.65156666666667,306.668,288.54686666666663,29.12345,31.13203333333333,295.09139999999996
14,2021-07-06,09:30:00,308.84793333333334,319.46955,307.95625,321.8633,315.02970000000005,310.3906,306.15195,312.88439999999997,305.18513333333334,299.39099999999996,299.3426,298.95756666666665,285.5708333333334,281.52425,291.8349,294.52112500000004,299.60565,288.08386666666667,287.825,297.23865,289.9442666666667,295.28515,285.2414,303.33906666666667,306.93413333333336,36.0677,298.1836,30.285666666666668,17.2172,302.109575,300.53435,319.29476666666665,310.84535,303.8414,319.1063,308.3049,316.61289999999997,307.21367499999997,311.7289,210.0302,320.4656,304.6426,30.773933333333332,32.0344,311.13073333333335
15,2021-07-06,09:45:00,323.409,330.71955,321.85467500000004,337.7158,331.37795,329.874,324.57576666666665,324.16639999999995,329.42626666666666,318.988475,322.27029999999996,322.1578,312.44166666666666,299.41743333333335,313.4625,311.22659999999996,321.43245,308.95416666666665,307.6909,313.09844999999996,318.0938,311.1284,302.89950000000005,316.9688,326.7285,61.5,326.67185,31.13906666666667,17.559974999999998,320.92615,314.7496,337.219,325.7031,319.88826666666665,333.10443333333336,322.73675000000003,333.4492333333333,327.675,327.45599999999996,274.3042,336.52930000000003,325.391425,32.8336,32.5156,327.31746666666663
16,2021-07-06,10:00:00,341.7296666666666,346.06055000000003,330.8906,353.7344,345.9484333333333,345.3812666666667,336.1121,333.19689999999997,346.43126666666666,336.3152,342.85026666666664,332.99765,325.40465,319.825,326.2383,328.3575333333333,333.66249999999997,328.1143,330.224,327.82213333333334,328.9474,334.2881,319.75665000000004,339.29063333333335,343.924,143.47396666666666,342.13222499999995,31.651300000000003,213.24259999999998,335.5724,326.7297,349.1742,338.00626666666665,334.6709,348.0445333333334,336.0453333333333,348.48555,334.7955666666667,339.64166666666665,320.4526333333333,354.2461,337.8164,32.1082,32.0042,342.662
17,2021-07-06,10:15:00,352.5698,359.222675,345.813075,364.4817666666667,353.9262,355.1016,346.3507666666667,349.368,363.99845000000005,350.38595,356.94255,351.0143,338.9630333333334,333.4302,345.24025,342.32576666666665,352.6426,340.90160000000003,343.69335,345.17207499999995,341.28864999999996,351.36405,334.44716666666665,356.42136666666664,359.3526,199.67113333333336,357.3383,31.139049999999997,220.663275,349.99243333333334,336.5422,363.76666666666665,350.96146666666664,347.43675,359.9526333333333,347.1059666666667,357.17473333333334,347.983025,351.93435,343.85443333333336,364.62109999999996,345.97384999999997,32.2919,32.9466,353.90409999999997
18,2021-07-06,10:30:00,359.04716666666667,367.58463333333333,352.25600000000003,370.1082,0.0,360.3492,353.5208333333333,354.0659,0.0,360.1914,364.7312,364.318,352.5328,347.8622666666667,354.7177,353.3862,362.59453333333335,353.4882666666667,355.7625,357.09139999999996,353.7188,361.94790000000006,346.4695,367.9948,372.41720000000004,254.27736666666667,363.23400000000004,34.5055,230.0895,360.36403333333334,345.6010666666666,370.81835,357.60255000000006,352.023625,367.9010666666666,353.4307333333333,363.84323333333333,355.56719999999996,355.48945000000003,352.7898333333333,368.66900000000004,349.55275,43.5677,32.55493333333333,362.0391
19,2021-07-06,10:45:00,362.57855,373.2461,357.5156,375.03515000000004,367.52756666666664,368.6633,360.47225000000003,359.53489999999994,385.2258,377.3294333333333,378.3731666666667,373.98673333333335,361.5745,354.4375,364.16954999999996,367.00156666666663,373.2013,367.5508,364.913,365.0,364.3713666666667,369.61289999999997,353.4909,376.31325000000004,381.7036333333333,292.02709999999996,378.36926666666665,35.11666666666667,233.77655,371.7205666666667,351.8523333333333,377.68125,365.04220000000004,361.0047,372.7247333333334,358.6367,370.86223333333334,362.63803333333334,364.88539999999995,360.4302333333333,378.8203,358.69713333333334,105.42500000000001,35.565866666666665,368.83723333333336
20,2021-07-06,11:00:00,364.27656666666667,373.2002333333333,358.6218666666667,375.2763,368.06586666666664,368.8379,361.8906,359.52343333333334,390.3547,380.1094,384.47090000000003,379.0281333333333,366.36123333333336,361.32205,370.46835,371.6997666666666,377.1211,369.4062666666667,372.4984666666667,370.8427,370.4046666666666,374.4719,361.64570000000003,381.6539,389.86353333333335,332.9640666666667,383.16134999999997,36.50053333333333,239.10235,377.69350000000003,354.73885,378.1297,363.44065,360.0817666666667,373.06285,359.96070000000003,372.3409,362.412,363.1262,360.07473333333337,379.42695000000003,358.6531,148.1141,36.489333333333335,372.3146
21,2021-07-06,11:15:00,371.56875,382.21613333333335,362.03906666666666,381.1703,370.4474,373.4052,364.2489666666666,361.51014999999995,400.65234999999996,391.34453333333335,0.0,386.9969,376.25705000000005,375.7414,378.9297,380.98365,385.5914333333333,379.69579999999996,381.93906666666663,382.9375,383.355875,382.9528666666667,378.7016,395.06215,405.30493333333334,363.74736666666666,395.78905000000003,42.487899999999996,307.99403333333333,386.66173333333336,359.5625,384.399225,369.2026,365.52343333333334,379.25784999999996,361.60545,375.367,361.58984999999996,363.13125,363.33045000000004,381.2799333333333,364.68165,201.34140000000002,40.713300000000004,377.5888333333333
22,2021-07-06,11:30:00,376.3505333333333,385.6148,365.59395,383.6781,375.2364333333333,376.3658666666667,367.31823333333335,366.35003333333333,404.95313333333337,396.95939999999996,399.50275,392.55496666666664,385.9271333333333,380.51405,389.0575666666667,387.74763333333334,392.72575,385.37733333333335,390.2645,390.02213333333333,382.9008,393.608975,381.8278666666667,402.52029999999996,411.2349,391.1984333333333,402.51405,57.555733333333336,314.25963333333334,395.0719,364.707225,386.23085000000003,373.13096666666667,367.1529,381.50705,365.69845,374.62030000000004,365.5885333333334,367.4372333333333,363.82225,383.992975,367.51095,254.69686666666666,47.0547,382.14297500000004
