,Data,Hora,OP1.1.1 I (A),OP1.1.2 I (A),OP1.1.3 I (A),OP1.1.4 I (A),OP1.1.5 I (A),OP1.1.6 I (A),OP1.1.7 I (A),OP1.1.8 I (A),OP1.1.9 I (A),OP1.1.10 I (A),OP1.1.11 I (A),OP1.1.12 I (A),OP1.1.13 I (A),OP1.1.14 I (A),OP1.1.16 I (A),OP1.2.1 I (A),OP1.2.2 I (A),OP1.2.3 I (A),OP1.2.4 I (A),OP1.2.5 I (A),OP1.2.6 I (A),OP1.2.7 I (A),OP1.2.8 I (A),OP1.2.9 I (A),OP1.2.10 I (A),OP1.2.11 I (A),OP1.2.12 I (A),OP1.2.13 I (A),OP1.2.14 I (A),OP1.2.15 I (A),OP1.2.16 I (A),OP1.3.1 I (A),OP1.3.2 I (A),OP1.3.4 I (A),OP1.3.5 I (A),OP1.3.6 I (A),OP1.3.7 I (A),OP1.3.8 I (A),OP1.3.9 I (A),OP1.3.10 I (A),OP1.3.11 I (A),OP1.3.12 I (A),OP1.3.13 I (A),OP1.3.14 I (A),OP1.3.15 I (A),OP1.3.16 I (A)
10,2021-06-06,08:30:00,3.3541666666666665,3.2833333333333337,3.210433333333333,3.3594,3.320866666666667,3.2656,3.26875,3.2604333333333333,2.8688,2.7229333333333336,2.6521000000000003,2.918775,2.7896,2.775,2.7479333333333336,2.8438,2.70005,2.6229333333333336,2.6313,2.6646,2.625033333333333,2.6958333333333333,2.5146,2.8249999999999997,1.5625499999999999,0.425,2.7250333333333336,2.7344,0.3666666666666667,0.22713333333333333,2.7312666666666665,3.04845,3.264566666666667,3.2875,3.102133333333333,3.358333333333333,3.175,3.32505,3.2021,3.202066666666667,0.3499999999999999,3.381266666666667,3.31875,0.3792,0.3833333333333333,3.158333333333333
11,2021-06-06,08:45:00,3.7062333333333335,3.627133333333333,3.5828500000000005,3.7656500000000004,3.6271,3.6229,3.653175,3.610433333333333,3.389566666666667,3.125,3.0313,3.4,3.233333333333333,2.9896,3.1166666666666667,3.1333333333333333,3.1281499999999998,3.0812666666666666,3.0187666666666666,3.1,3.1021,3.17815,2.9708666666666663,3.1469,2.6833666666666667,0.41874999999999996,3.2094,3.172933333333333,0.38126666666666664,0.23336666666666664,3.08125,3.41875,3.6625333333333336,3.618775,3.4604,3.7583333333333333,3.6229333333333336,3.678125,3.556266666666667,3.5646,0.38126666666666664,3.7312666666666665,3.65315,0.4078,0.3833333333333333,3.483333333333333
12,2021-06-06,09:00:00,4.04375,4.145300000000001,4.0844000000000005,4.25,4.0625,4.15,4.106233333333333,4.084350000000001,3.8000499999999997,3.60625,3.65315,3.6458666666666666,3.7042,3.5375,3.5938,3.375,3.6750000000000003,3.5396,3.5437749999999997,3.45,3.5666999999999995,3.6750499999999997,3.4250000000000003,3.685925,3.5750333333333337,0.5094000000000001,3.85625,3.6667,0.4541666666666666,0.25003333333333333,3.779166666666667,3.907825,4.0521,4.09065,3.9291666666666667,4.135433333333332,4.0645999999999995,4.179199999999999,3.96565,3.970833333333333,0.9958666666666667,4.149966666666667,4.025033333333333,0.44065,0.4844,3.9479333333333333
13,2021-06-06,09:15:00,4.333333333333333,4.456266666666667,4.035433333333334,4.4187666666666665,4.2396,4.3281,4.2895666666666665,4.3031500000000005,3.468775,3.2541666666666664,4.0062,3.9297,4.122933333333333,3.8937999999999997,3.954166666666667,4.022966666666666,4.165649999999999,3.9604,3.89375,3.8979,2.9521,3.95005,3.7458666666666667,4.0667,4.1479333333333335,0.5271333333333333,4.1604,3.2625333333333337,0.47293333333333337,0.31253333333333333,4.05,4.25,3.87035,4.304133333333334,3.2770999999999995,3.7531250000000003,3.3375,3.9594,3.8104333333333336,4.381266666666666,2.1083666666666665,3.4583333333333335,4.321899999999999,0.4896,0.4875,4.270833333333333
14,2021-06-06,09:30:00,4.577066666666666,4.6594,4.516666666666667,4.670833333333333,4.54375,4.5375000000000005,4.48435,4.5,4.4906500000000005,4.231249999999999,4.2,4.425,4.36875,4.3187,4.2469,4.2063,4.258333333333334,4.1854000000000005,4.175,4.125,4.197933333333333,4.25,4.0667,4.387533333333333,4.381266666666666,0.5453250000000001,4.329166666666667,4.370833333333334,0.4416666666666667,0.25,4.320833333333334,4.368766666666667,4.65,4.575,4.509399999999999,4.6937,4.512533333333333,4.529166666666666,4.5125,4.510433333333333,2.5938,4.675,4.5729,0.44376666666666664,0.43125,4.4125
15,2021-06-06,09:45:00,4.9063,4.875,4.7771,4.927066666666667,4.8,4.8354333333333335,4.797933333333333,4.78435,4.7594,4.63595,4.53435,4.793749999999999,4.668749999999999,4.520833333333333,4.5249999999999995,4.5594,4.706266666666666,4.531266666666666,4.4146,4.566666666666666,4.5396,4.6125,4.360433333333333,4.7031,4.758333333333334,1.1719,4.6000000000000005,4.668733333333333,0.4375,0.2469,4.6062666666666665,4.583333333333333,4.954199999999999,4.797933333333333,4.7083,4.98125,4.8344000000000005,4.8187,4.8125,4.8125,3.695833333333333,5.040649999999999,4.8063,0.45625,0.425,4.725
16,2021-06-06,10:00:00,5.0417,5.143766666666667,5.0031,5.1469000000000005,5.1422,5.07505,5.041666666666667,4.98755,5.091666666666666,5.01875,4.841633333333333,5.0781,5.0812333333333335,4.83595,4.906275,4.881266666666666,4.947933333333333,4.853149999999999,4.797933333333333,4.83755,4.833333333333333,4.8417,4.571899999999999,4.981249999999999,5.0333,1.9437666666666666,4.945866666666666,4.9604333333333335,0.0,0.25206666666666666,4.908333333333333,4.9062,5.1437,5.0625,4.9437999999999995,5.2469,5.0906,5.112525,4.9646,5.00625,4.479166666666667,5.141633333333334,5.004166666666666,0.4688,0.4625,4.9271
17,2021-06-06,10:15:00,5.2604,5.3,5.177066666666667,5.4375,5.32815,5.295833333333333,5.172933333333334,5.1396,5.291666666666667,5.277066666666666,5.141666666666667,5.281266666666666,5.3406,5.15,5.21875,5.183366666666667,5.183333333333333,5.029166666666666,5.018766666666667,5.1292,5.091666666666667,5.133366666666666,4.9271,5.353149999999999,5.356233333333333,2.5031499999999998,5.256266666666667,5.2875,0.45625,0.27190000000000003,5.18435,5.0812333333333335,5.362525,5.281233333333334,5.2292,5.4083,5.2396,5.372933333333333,5.2687333333333335,5.237533333333333,5.172899999999999,5.417199999999999,5.233366666666667,0.42713333333333336,0.4604333333333333,5.1375
18,2021-06-06,10:30:00,5.55,5.6062666666666665,5.5,5.675,5.568766666666666,5.6438,5.3812,5.520299999999999,5.6922,5.55,5.422933333333333,5.540649999999999,5.6,5.4375,5.4896,5.57815,5.531266666666667,5.449975,5.3312,5.3792,5.4146,5.3999999999999995,5.216666666666666,5.54375,5.681233333333334,3.4895666666666667,5.643775,5.61875,0.5187666666666667,0.3041666666666667,5.483366666666666,5.441666666666666,5.6219,5.52815,5.456266666666667,5.683333333333333,5.575,5.6542,5.554166666666667,5.5344,5.44065,5.775,5.529166666666666,0.6729333333333334,0.5437333333333334,5.456266666666667
19,2021-06-06,10:45:00,5.6813,5.431266666666667,5.61405,4.25,5.679166666666667,5.70315,4.52655,5.652066666666666,5.8688,4.906266666666666,5.706266666666667,5.9604333333333335,6.0020999999999995,4.154166666666666,5.7542,6.025,5.8313,5.6937,4.833333333333333,5.827066666666667,5.608333333333333,5.6813,3.945866666666667,5.779166666666666,5.55625,4.183333333333334,5.83755,4.3354,0.5219,0.4563,5.7687333333333335,5.51565,5.68435,5.6781500000000005,5.5531500000000005,5.725,5.6969,5.758366666666666,5.641666666666667,0.0,5.8417,5.829133333333334,4.78435,1.4531,0.5562666666666667,4.475
