,Data,Hora,P1.1.1 P (W),P1.1.2 P (W),P1.1.3 P (W),P1.1.4 P (W),P1.1.5 P (W),P1.1.6 P (W),P1.1.7 P (W),P1.1.8 P (W),P1.1.9 P (W),P1.1.10 P (W),P1.1.11 P (W),P1.1.12 P (W),P1.1.13 P (W),P1.1.14 P (W),P1.1.15 P (W),P1.1.16 P (W),P1.2.1 P (W),P1.2.2 P (W),P1.2.3 P (W),P1.2.5 P (W),P1.2.6 P (W),P1.2.7 P (W),P1.2.8 P (W),P1.2.9 P (W),P1.2.10 P (W),P1.2.11 P (W),P1.2.12 P (W),P1.2.13 P (W),P1.2.14 P (W),P1.2.15 P (W),P1.2.16 P (W),P1.3.1 P (W),P1.3.2 P (W),P1.3.3 P (W),P1.3.4 P (W),P1.3.5 P (W),P1.3.6 P (W),P1.3.7 P (W),P1.3.8 P (W),P1.3.9 P (W),P1.3.10 P (W),P1.3.11 P (W),P1.3.12 P (W),P1.3.13 P (W),P1.3.14 P (W),P1.3.15 P (W),P1.3.16 P (W)
10,2021-12-04,08:30:00,328.60135,332.76250000000005,335.0645666666667,344.4453,340.12786666666665,337.8998,342.8578,334.10175,295.9841333333333,289.42159999999996,284.6409,295.66743333333335,294.53906666666666,274.18515,281.768,274.85106666666667,276.957425,274.1562,286.18435,275.45664999999997,287.6711,276.54453333333333,263.7338666666667,290.9766,297.3359333333333,169.1908,291.9755333333333,288.56135,27.740825,17.0823,293.7323,324.57526666666666,337.5414333333333,336.19764999999995,336.85106666666667,330.74300000000005,343.6330666666666,337.9745,343.7507666666667,330.08320000000003,336.88280000000003,333.79293333333334,338.3531,334.6187333333333,36.8698,29.944533333333336,332.1223
11,2021-12-04,08:45:00,355.48635,365.8002,366.6614333333334,371.8721666666667,370.04243333333335,369.48595,368.6028666666666,366.2265333333333,331.2961,321.8802,312.1632666666667,324.7258,327.5854,300.3328,314.3893333333333,316.08595,317.83463333333333,318.867575,314.83945,309.7172,319.3716,321.27576666666664,303.99005,320.5343666666667,323.10429999999997,253.26330000000002,334.46175,321.282625,28.18825,158.77863333333335,323.3896,353.99375,370.01835,371.9372333333333,368.5388,365.7138,375.2169333333333,369.6872333333333,371.9687333333334,362.39415,362.39270000000005,360.29025,374.03245,362.04060000000004,138.33905000000001,31.4344,361.16679999999997
12,2021-12-04,09:00:00,385.10865,393.85900000000004,391.97339999999997,403.4719,400.2578,395.9248,394.9515666666667,387.34415,368.0719,355.1133,348.00340000000006,353.6919333333333,362.8102,345.92733333333337,346.42710000000005,345.9668,348.7778666666666,354.93825,343.468525,347.9961,349.41456666666664,354.8005,331.73670000000004,350.20313333333337,358.65753333333333,330.18965000000003,354.9281,358.27163333333334,157.06564999999998,283.19960000000003,367.2695,382.68489999999997,400.477925,397.0305,395.7812666666667,389.20963333333333,401.27070000000003,389.90625,402.78176666666667,388.275,387.0916666666667,382.8677,403.8336,392.4427,213.9951,31.930099999999996,390.56119999999993
13,2021-12-04,09:15:00,409.3052333333333,417.904675,416.8312,425.951775,419.04999999999995,428.9121,421.8802,407.8992333333333,394.9510333333333,384.27653333333336,377.44743333333327,381.4318,380.38205000000005,371.58905,366.87895000000003,372.63179999999994,370.83085,375.6291666666666,372.63945,367.5813,377.08945,381.2947666666667,364.86210000000005,375.47265,385.8121,374.0575666666667,387.2797,384.38985,308.2949,301.6492,384.1067666666666,402.18176666666665,425.5896,418.29116666666664,415.46613333333335,413.6299666666667,422.3297333333333,415.04583333333335,417.5688,414.12760000000003,407.46410000000003,409.87190000000004,426.1424333333334,412.12345000000005,314.3948,32.21365,412.8862
14,2021-12-04,09:30:00,429.43675,439.9745,431.18595,445.88985,438.66900000000004,441.81716666666665,438.7226666666667,431.183575,420.5211,407.2534,0.0,408.52145,409.514075,396.35040000000004,394.97754999999995,403.14027500000003,398.94426666666664,402.3422,398.17775,396.67863333333327,400.19355,409.9031,396.24885,412.57216666666665,411.577925,402.30653333333333,411.0176,407.3293,332.2948,327.6797,407.74490000000003,423.7054666666666,444.10119999999995,438.2039,438.4328,433.63596666666666,444.6109333333334,436.79765,439.9828333333333,434.96616666666665,429.44725,426.38543333333337,447.25,429.47060000000005,405.62379999999996,48.9,433.80676666666665
15,2021-12-04,09:45:00,440.7633,458.2148333333334,448.95963333333333,461.34612500000003,452.74376666666666,457.2578,456.7613,450.6468666666667,440.17606666666666,427.8586,419.44494999999995,434.449425,432.8096333333333,423.9785,418.8453333333334,423.8227,413.3359,427.47365,416.93435,415.84610000000004,422.9307333333333,431.93799999999993,415.8487,429.79086666666666,440.2383,422.6383,436.5070333333333,437.31875,346.73555,333.8547,429.0703,437.1359333333333,461.37305000000003,450.84296666666665,453.49766666666665,446.86915,461.21410000000003,451.8044333333333,458.79179999999997,448.82346666666666,438.2848,438.8574,459.6547,440.73019999999997,446.1195333333333,161.059375,449.4778666666666
16,2021-12-04,10:00:00,457.784575,469.3086,462.86196666666666,475.13905,465.2359000000001,468.02930000000003,469.00585,460.47069999999997,457.68829999999997,447.22695,439.33124999999995,455.22270000000003,451.93073333333336,437.35545,431.7602,440.9476666666667,440.10106666666667,441.3445,444.1281,437.87236666666666,440.66015,446.3281,433.7271,448.0966,453.3844,438.19105,453.73049999999995,448.24260000000004,357.79690000000005,351.77580000000006,445.067375,449.2672,474.9828,467.83363333333335,468.16290000000004,461.2926,469.99685,464.83486666666664,476.3604,464.50336666666664,455.07655,456.6033666666667,475.3075666666667,456.5987,460.25963333333334,268.1578333333333,462.66565
17,2021-12-04,10:15:00,467.4906,480.7182666666667,472.59145,485.7669333333333,476.70053333333334,481.2457,479.22655,471.3889,478.0838333333333,467.21406666666667,455.68354999999997,472.4947666666667,462.3938,451.62265,0.0,458.45097499999997,457.41796666666664,464.52365000000003,453.7043,456.30215,456.723075,462.09825,450.1294666666667,469.2211,469.688275,450.9890666666667,466.62145,465.6573,376.9039,364.30316666666664,465.32849999999996,461.2539,484.85935,477.8007666666667,477.21303333333327,473.73673333333335,482.26666666666665,475.9708333333333,487.45910000000003,477.21250000000003,466.10886666666664,466.7356666666667,488.6395666666667,468.1156,471.1695333333334,355.0254,473.4927333333333
18,2021-12-04,10:30:00,477.0992,489.90546666666665,479.46509999999995,497.4179666666667,483.4156,489.16679999999997,487.83410000000003,481.7682333333333,489.69375,477.41915,470.3676,485.51043333333337,479.1885333333334,466.9588,461.90274999999997,476.71835,470.12109999999996,476.9883,471.5021,472.0645,474.5708333333334,482.1669,463.21365000000003,481.5403666666666,483.57735,465.85803333333337,482.301175,477.09299999999996,435.3015666666667,378.21522500000003,477.19335,472.602,495.1091333333333,486.51365,484.01095,482.27345,493.5215,484.92186666666663,495.71226666666666,480.675,473.5078,472.16873333333325,491.72540000000004,474.6229,478.5594,405.68944999999997,483.3984
19,2021-12-04,10:45:00,485.5963,497.84180000000003,484.07216666666665,500.6041666666667,490.60545,498.6422,493.22813333333335,486.8179666666667,502.84295,490.9833333333333,484.62836666666664,496.9536333333333,492.2,479.3469,475.67262500000004,485.0021,481.4302333333333,489.791425,481.47815,482.2796666666666,487.1270666666667,493.38280000000003,473.6793,494.37736666666666,497.97763333333336,477.34946666666673,493.82815,487.9133,475.11485,387.9719,485.7917,477.1513,501.58930000000004,493.07216666666665,490.56445,487.2864333333334,497.3919333333333,490.0744666666667,503.33555,486.135375,478.493925,476.80705,499.78455,477.02459999999996,481.2502666666667,464.1617,488.08123333333333
