,Unnamed: 0,Data,Hora,OP2.1.1 I (A),OP2.1.2 I (A),OP2.1.3 I (A),OP2.1.4 I (A),OP2.1.5 I (A),OP2.1.6 I (A),OP2.1.7 I (A),OP2.1.8 I (A),OP2.1.9 I (A),OP2.1.10 I (A),OP2.1.11 I (A),OP2.1.12 I (A),OP2.1.13 I (A),OP2.1.14 I (A),OP2.1.15 I (A),OP2.1.16 I (A),OP2.2.1 I (A),OP2.2.2 I (A),OP2.2.3 I (A),OP2.2.4 I (A),OP2.2.5 I (A),OP2.2.6 I (A),OP2.2.7 I (A),OP2.2.8 I (A),OP2.2.9 I (A),OP2.2.10 I (A),OP2.2.11 I (A),OP2.2.12 I (A),OP2.2.13 I (A),OP2.2.14 I (A),OP2.2.15 I (A),OP2.2.16 I (A),OP2.3.1 I (A),OP2.3.2 I (A),OP2.3.3 I (A),OP2.3.4 I (A),OP2.3.5 I (A),OP2.3.6 I (A),OP2.3.7 I (A),OP2.3.8 I (A),OP2.3.9 I (A),OP2.3.10 I (A),OP2.3.11 I (A),OP2.3.12 I (A),OP2.3.13 I (A),OP2.3.14 I (A),OP2.3.15 I (A),OP2.3.16 I (A)
20,20,2021-01-03,11:00:00,9.212533333333331,7.542175,6.203150000000001,8.733366666666667,5.566666666666667,9.439633333333331,6.9125,7.152133333333334,9.545866666666669,8.8938,9.86565,8.8813,5.96255,7.4792,8.55,9.175,7.5219,7.350033333333335,7.233366666666666,8.472933333333334,8.235433333333333,7.3542,9.260433333333332,7.216666666666666,8.44535,9.25,7.3646,7.843766666666667,6.775,7.42815,6.265650000000001,9.847966666666666,6.1469000000000005,7.214566666666667,8.620833333333332,9.222966666666666,9.345866666666668,7.070833333333333,9.050033333333332,7.260433333333334,6.12815,7.431266666666667,8.0656,8.379166666666668,9.618766666666666,7.9719,7.637533333333333,9.504725
21,21,2021-01-03,11:15:00,9.118766666666668,8.931266666666666,6.43125,6.975033333333333,7.360433333333333,9.3521,9.23125,8.634350000000001,9.16255,8.8396,9.3625,7.435433333333333,6.15,7.325033333333333,7.343750000000001,9.177133333333332,9.30315,8.618766666666668,8.737549999999999,8.779166666666667,7.3292,8.795833333333334,9.3938,9.156275,9.16875,7.320866666666666,9.118775,9.4813,8.947933333333333,9.2469,3.2812,9.2125,8.909400000000002,9.004199999999999,9.3313,7.652066666666667,6.41565,9.2729,9.170866666666669,9.197933333333332,9.651575,9.093775,9.333366666666668,8.90155,9.3125,9.410433333333334,9.51565,9.3
22,22,2021-01-03,11:30:00,8.66875,6.293766666666667,6.6375,8.641666666666666,2.6562,5.0563,5.993766666666666,9.198474999999998,7.339074999999999,7.0354,7.008333333333333,8.462533333333333,5.76875,5.7563,8.760433333333333,6.418766666666667,6.595833333333334,9.08125,5.856275,6.1813,5.422899999999999,5.150033333333333,5.045833333333333,6.44065,6.210433333333334,8.687525,5.5094,5.616700000000001,4.352099999999999,8.745833333333334,8.9219,8.356300000000001,5.5438,5.1875,6.070866666666667,6.2937666666666665,4.8375,6.910466666666667,8.533366666666668,5.870866666666667,6.639600000000001,6.19065,4.0,9.08125,6.043766666666667,7.67505,9.0844,3.4344
23,23,2021-01-03,11:45:00,9.081275,9.300033333333332,7.587533333333334,9.0188,9.625033333333333,9.20315,9.2792,9.3417,7.639600000000001,9.5,9.358366666666669,7.387533333333334,8.983366666666667,7.793749999999999,6.7625,9.3281,9.054166666666667,9.206266666666668,8.92505,9.42505,7.3791666666666655,8.952066666666667,9.118766666666666,9.043766666666668,8.8542,8.62815,8.9771,8.204166666666666,7.817225,9.222933333333334,7.572933333333334,8.727133333333335,9.035433333333332,7.399999999999999,6.995866666666667,7.185433333333333,9.110433333333331,9.2313,9.427133333333334,9.4667,9.181266666666668,8.05625,9.060433333333334,7.047933333333333,9.16875,9.222966666666666,9.1125,9.6375
24,24,2021-01-03,12:00:00,8.700000000000001,8.8813,8.790600000000001,8.575000000000001,9.4417,9.220833333333331,9.1042,9.050033333333332,8.8719,8.7969,9.072933333333332,9.106266666666668,8.820866666666667,8.993766666666668,8.508333333333335,8.751575,9.0969,9.23285,8.956266666666668,9.2469,9.0547,9.1188,9.175,8.9271,9.010466666666668,8.7896,8.987533333333333,9.416666666666666,9.1219,9.029700000000002,9.083333333333334,9.4438,8.697966666666666,8.981266666666668,8.795866666666667,9.008366666666667,9.0396,8.825,8.9896,8.7292,8.847933333333334,8.634350000000001,8.231266666666668,8.89375,8.483366666666667,8.62035,8.822933333333333,8.881266666666667
25,25,2021-01-03,12:15:00,8.79375,7.768766666666667,8.925,8.891699999999998,9.4896,9.320866666666667,9.408333333333331,9.360466666666666,8.471900000000002,9.925,9.5646,9.60005,9.30005,8.433333333333334,9.039633333333336,9.05,7.575,8.0688,7.981266666666667,7.664633333333334,8.3938,9.1875,7.902066666666666,8.427100000000001,8.870866666666666,7.66875,8.247966666666667,8.18125,8.775033333333333,8.1125,7.7438,8.2594,8.4344,8.910466666666666,8.629199999999999,9.175033333333332,8.534400000000002,8.529200000000001,9.170866666666669,9.008333333333336,9.06565,8.703125,8.52815,8.635466666666666,8.068774999999999,9.1292,8.295866666666667,9.1521
26,26,2021-01-03,12:30:00,9.40315,8.895866666666667,9.508366666666667,8.7646,9.9167,8.983333333333333,9.6042,9.804166666666667,9.975033333333332,9.900033333333331,10.175033333333332,9.8438,9.59065,9.4469,9.0594,9.148425,8.810433333333334,8.029200000000001,8.670866666666667,8.691699999999999,8.468766666666667,8.9688,8.750033333333334,8.712533333333335,9.156266666666664,8.697933333333333,8.589633333333333,9.168766666666668,9.5594,8.375025,9.2271,8.629199999999999,8.947933333333333,9.68125,8.468766666666667,8.737533333333333,8.379199999999999,8.19375,8.483333333333334,8.456266666666666,8.825,8.9344,8.783366666666666,9.003150000000002,8.28755,8.82815,8.8146,8.793766666666668
27,27,2021-01-03,12:45:00,9.4594,8.585433333333333,9.431266666666666,9.30625,9.8167,9.333366666666668,9.5146,9.460433333333334,9.8313,10.02815,9.570833333333336,9.6604,9.3906,9.447933333333332,9.284400000000002,9.65,8.945866666666666,8.437533333333333,8.737533333333333,8.6042,8.7813,8.772933333333334,0.0,8.800033333333333,8.681266666666668,8.306266666666668,9.1625,9.6844,8.635433333333333,9.23125,8.662500000000001,8.8792,8.5771,8.977133333333335,8.756266666666667,9.3813,9.0875,8.7646,9.133366666666666,9.42505,9.1672,9.181275,9.3417,8.316699999999999,8.940650000000002,9.045833333333334,8.320866666666667,9.0021
28,28,2021-01-03,13:00:00,8.587533333333333,8.43125,8.937533333333334,7.4771,8.8375,9.1563,9.065650000000002,8.66255,8.9125,9.0688,8.5969,9.128150000000002,8.1625,8.654166666666667,8.106275,9.066666666666668,7.8166666666666655,7.4563000000000015,8.306266666666666,8.552100000000001,8.731300000000001,8.51565,7.689599999999999,8.597933333333332,7.91875,8.166633333333332,8.115625,8.270866666666668,6.893766666666667,7.889633333333333,7.835433333333333,8.4516,7.206233333333333,8.193766666666667,8.0771,8.210433333333333,8.48125,7.468766666666667,7.810433333333333,8.287533333333334,8.1844,7.03435,6.720866666666666,9.221900000000002,8.570325,7.841666666666666,8.008333333333333,8.9375
29,29,2021-01-03,13:15:00,5.782825000000001,6.916666666666667,5.68755,5.9969,5.658333333333334,6.1000000000000005,5.685433333333333,6.985466666666667,7.1646,7.7797,5.3125,5.47505,6.472933333333334,5.7813,5.8646,6.06565,7.222933333333333,7.16255,5.3625,7.493766666666667,8.3063,6.1797,4.625,7.275033333333333,6.74375,3.6344,3.14065,7.0297,6.987533333333334,5.233333333333333,3.61565,7.4094,5.316666666666666,4.858333333333333,5.1604,6.00315,7.300033333333334,5.28435,7.0125,5.600033333333333,4.9313,6.866666666666667,6.7271,6.145833333333333,4.15315,6.0229333333333335,4.5062,6.578150000000001
