,Unnamed: 0,Data,Hora,P2.1.1 P (W),P2.1.2 P (W),P2.1.3 P (W),P2.1.4 P (W),P2.1.5 P (W),P2.1.6 P (W),P2.1.7 P (W),P2.1.8 P (W),P2.1.9 P (W),P2.1.10 P (W),P2.1.11 P (W),P2.1.12 P (W),P2.1.13 P (W),P2.1.14 P (W),P2.1.15 P (W),P2.1.16 P (W),P2.2.1 P (W),P2.2.2 P (W),P2.2.3 P (W),P2.2.4 P (W),P2.2.5 P (W),P2.2.6 P (W),P2.2.7 P (W),P2.2.8 P (W),P2.2.9 P (W),P2.2.10 P (W),P2.2.11 P (W),P2.2.12 P (W),P2.2.13 P (W),P2.2.14 P (W),P2.2.15 P (W),P2.2.16 P (W),P2.3.1 P (W),P2.3.2 P (W),P2.3.3 P (W),P2.3.4 P (W),P2.3.5 P (W),P2.3.6 P (W),P2.3.7 P (W),P2.3.8 P (W),P2.3.9 P (W),P2.3.10 P (W),P2.3.11 P (W),P2.3.12 P (W),P2.3.13 P (W),P2.3.14 P (W),P2.3.15 P (W),P2.3.16 P (W)
20,20,2021-01-03,11:00:00,597.7164,488.203325,388.03905,576.4638333333334,349.11459999999994,611.9205666666667,456.2422,464.4286666666667,624.2185333333333,610.3336,664.02735,606.1453,385.20155,486.3555,561.0938,608.7623000000001,514.920675,479.8367333333333,464.06380000000007,562.1599333333334,517.8968666666666,469.02426666666673,593.5182333333333,458.5874999999999,548.810975,598.3652500000001,468.012,494.30103333333335,348.83435,488.0752,400.21215,620.1583666666667,407.1484,486.8628,596.0012666666667,627.5779000000001,635.4224,464.71356666666674,624.2047000000001,483.7348999999999,397.9129,490.9958333333333,517.4746,555.4127666666667,645.8575999999999,528.934,484.9612,647.072275
21,21,2021-01-03,11:15:00,577.8013,571.9507666666667,398.29065,437.2578,475.3989666666666,590.7099,593.55075,591.12535,577.7692,573.6739666666667,609.7328,493.5325666666667,405.26405,460.474,483.173425,594.0932666666666,600.8844,578.1906333333333,590.70585,572.6026333333333,458.2171666666666,580.3003,596.50315,576.2291,571.24765,460.01173333333327,593.057225,589.5637,476.8260333333333,580.79415,205.0781,601.3843666666667,596.0254,605.6159,603.6820333333334,496.81380000000007,412.42855,600.3515666666667,612.5815666666666,626.6867000000001,616.5851749999999,582.6476749999999,599.3185333333334,582.7385,592.5078,604.7429666666666,599.9648500000001,623.56955
22,22,2021-01-03,11:30:00,589.2781500000001,394.26150000000007,431.9456,555.2281333333334,162.0312,315.9832,385.1935,597.7312750000001,466.9336,462.6906666666667,450.9224,563.3945333333334,381.91485,385.0961,562.4839000000001,410.31410000000005,423.9109666666666,583.1804999999999,372.905075,386.5289,362.8159,350.5617,339.3443,424.29725,412.3523333333333,563.0951500000001,349.3879,371.4979,225.9578,567.2093666666666,595.4531,567.9050500000001,381.9979333333333,340.638,384.9299333333333,412.6541666666667,308.8380333333334,445.43700000000007,573.5625333333332,399.8859333333333,424.2093666666667,395.9547,258.8099,586.3141,395.2453333333333,508.06485,600.2133,220.55745
23,23,2021-01-03,11:45:00,570.046475,585.0674666666667,479.78803333333343,565.41915,608.7367333333333,584.1894500000001,605.1208333333333,607.4942666666667,485.6667,609.1875,620.8096666666667,488.4164333333333,573.8036666666667,493.49182500000006,436.5833333333334,589.4121,590.4224,588.0500333333333,579.2227,590.81605,470.5791666666666,582.0714,584.8718666666666,578.4187333333333,568.4,564.5223,577.5576,514.5429666666666,410.07675,591.775,484.7294333333333,559.3565333333333,591.6950666666667,490.2737333333334,453.7398666666666,467.1429333333333,598.7276333333333,613.99575,606.6331,608.8611999999999,594.4034333333334,505.40155,584.9494666666666,460.5726666666666,591.4297,596.6445333333335,582.4896,617.9906000000001
24,24,2021-01-03,12:00:00,589.0521,585.60745,588.2629,574.8417000000001,625.0471333333334,601.2471333333333,630.3604333333333,619.3116999999999,598.2832000000001,611.9117249999999,623.0589,619.1974333333334,595.3242333333333,600.9711,573.3760666666667,586.6916,616.8589999999999,618.097475,600.0023666666667,608.4633,598.6592,612.0606666666666,608.9907,593.6664666666666,597.4885333333333,590.5255333333333,600.8648666666667,609.5682666666667,494.82855,606.593375,614.9557333333333,604.4,616.5776333333333,630.5357,614.1615,611.9049666666666,616.4721333333333,604.5125,610.1643333333333,610.2206,592.756,584.4434,571.9213666666666,609.1976500000001,587.3776333333334,597.8377,587.2198,614.4531333333333
25,25,2021-01-03,12:15:00,602.96955,515.3633,584.5875,594.3122333333333,640.7721666666666,602.7247333333333,629.5588666666666,608.2818333333333,551.94335,660.02965,657.3586,663.961,608.3703499999999,551.4104333333333,613.6435,623.31875,512.9461,537.0606,511.8211,511.6812333333333,579.1688,594.0527,528.2492333333333,545.2924666666667,581.1838666666666,502.71565,524.5273666666667,526.6785500000001,473.9336,560.87345,549.8063,575.034,571.4953499999999,635.2221333333333,609.3753,614.8901333333333,604.70975,578.6682666666667,622.4010666666667,614.9062666666666,606.18945,600.937475,594.30625,603.7682333333333,534.26565,598.513,552.2135666666667,620.7289
26,26,2021-01-03,12:30:00,594.52265,568.4101666666666,618.9021,565.5341333333333,635.4622666666667,569.5390666666666,634.7606666666667,653.0969,653.7078333333334,621.8607,668.6101666666667,661.4731666666667,634.67035,623.06135,606.45235,599.124425,579.0635333333333,526.2249999999999,580.0844,552.8575666666667,552.2833666666667,599.2070333333334,582.8956,574.5245,586.2951,564.3992666666667,563.9578,579.0880333333333,493.74335,523.69435,589.8638,561.7229333333333,605.7771,610.6578,587.4344,603.8148666666666,589.1294333333333,567.8414,568.5096333333333,588.5239666666666,581.43905,580.51405,577.9088333333334,582.41525,533.3902499999999,580.39065,591.8494999999999,604.8838666666667
27,27,2021-01-03,12:45:00,598.07115,531.8599,590.0922,564.2289,618.6364333333332,606.0304666666666,640.7041666666668,625.9882666666667,615.6821,627.39455,636.7065333333334,641.2669333333333,592.3125,607.968,602.09535,623.1416666666668,588.9393,554.4351333333333,575.9669333333333,553.4486999999999,554.7367333333334,585.7841333333334,0.0,571.5179666666667,526.7619666666666,520.3231999999999,594.44845,597.17935,441.1385666666667,583.25395,555.034025,586.0182333333333,565.8547,611.9481999999999,578.1948,599.2274,592.4187666666667,592.1799666666666,592.2377666666666,612.60545,577.68965,586.954725,589.2414,551.7770999999999,584.9304999999999,603.6494666666667,549.9143333333333,604.8846333333333
28,28,2021-01-03,13:00:00,538.1937333333334,525.59335,552.6661666666666,467.1442666666667,559.8151333333333,579.8417000000001,581.7211,564.4422,570.4781333333334,580.4,562.50625,597.652,530.75315,548.1659,510.856875,574.7531333333333,503.9648666666667,480.2836333333333,527.6234333333333,547.9502666666667,551.1601499999999,546.89805,488.86016666666666,548.0700666666667,496.7914,518.4127333333332,511.5664,527.0385666666667,360.11456666666663,503.7377666666666,512.5398333333334,539.600775,480.07290000000006,542.7846333333333,529.7518333333334,546.3611999999999,548.71095,486.0692666666666,509.1895666666667,543.7776,524.52655,449.6906,427.5518,600.38125,549.6295,502.06016666666665,510.03856666666667,589.4135333333334
29,29,2021-01-03,13:15:00,366.6295,434.3901,353.2203,376.3039,360.0455666666667,386.7073,374.9883,455.43306666666666,459.8908666666666,497.6668,348.6328,359.9035,419.4403666666667,366.9008,373.6594,380.45745,473.1270999999999,468.2484,344.6177,482.8073,527.44685,407.7502,297.5625,461.32396666666665,429.7789,235.31525,200.2539,452.250775,370.3633,338.1375333333333,237.46405,481.8297,351.74503333333337,313.2468666666667,325.60156666666666,388.46995,473.96223333333336,344.59255,463.83386666666667,364.20236666666665,325.4625,440.0575666666667,431.9703,398.21616666666665,269.28165,388.4138,294.5961,431.79845
